#
 0,  exploit/True/0.9,40,  0.04,  0.02,  *--                |                   ,  0.01,  0.10
#
 1,    exploit/True/1,30,  0.05,  0.03, - *----             |                   ,  0.02,  0.15
 1,  exploit/True/0.9,30,  0.05,  0.03, - *----             |                   ,  0.02,  0.14
 1,    exploit/True/1,40,  0.05,  0.03, - *---              |                   ,  0.02,  0.14
 1,    exploit/True/1,35,  0.05,  0.02, - *-                |                   ,  0.02,  0.09
#
 2,  exploit/True/0.7,30,  0.05,  0.04, --* ---             |                   ,  0.01,  0.13
 2,  exploit/True/0.8,30,  0.06,  0.04,  -* -               |                   ,  0.03,  0.12
 2,  exploit/True/0.6,25,  0.06,  0.02,  -*---              |                   ,  0.01,  0.14
 2,  exploit/True/0.7,25,  0.06,  0.04,  -* --              |                   ,  0.02,  0.11
 2,  exploit/True/0.8,40,  0.06,  0.02,   *--               |                   ,  0.03,  0.10
 2,  exploit/True/0.9,35,  0.06,  0.04, -  *--              |                   ,  0.02,  0.11
 2,  exploit/True/0.7,35,  0.06,  0.02, -- *-               |                   ,  0.02,  0.10
 2,  exploit/True/0.8,35,  0.06,  0.02,  - *--              |                   ,  0.03,  0.12
 2,  exploit/True/0.6,20,  0.06,  0.04,    *--              |                   ,  0.02,  0.13
#
 3,  exploit/True/0.6,30,  0.06,  0.02,    *--              |                   ,  0.03,  0.15
 3,  exploit/True/0.7,40,  0.06,  0.04,    * -              |                   ,  0.04,  0.13
 3,            random,40,  0.07,  0.03,  - *--              |                   ,  0.02,  0.12
 3,  exploit/True/0.8,25,  0.07,  0.02, -- *                |                   ,  0.01,  0.10
 3,            random,30,  0.07,  0.03,   -* --             |                   ,  0.03,  0.12
 3,  exploit/True/0.6,40,  0.07,  0.03,  - *--              |                   ,  0.02,  0.15
 3,  exploit/True/0.7,20,  0.07,  0.06,  - *  ---           |                   ,  0.02,  0.15
 3,    exploit/True/1,20,  0.07,  0.03,   - *-              |                   ,  0.04,  0.13
 3,    exploit/True/1,25,  0.08,  0.03,     *-              |                   ,  0.04,  0.13
 3,  exploit/True/0.9,25,  0.08,  0.02,  -- *-              |                   ,  0.03,  0.13
 3,            random,35,  0.08,  0.03,  -- *-              |                   ,  0.03,  0.12
 3,  exploit/True/0.8,20,  0.08,  0.04,   - *--             |                   ,  0.04,  0.14
 3,  exploit/True/0.9,20,  0.08,  0.05,  -  * -             |                   ,  0.03,  0.16
 3,  exploit/True/0.9,15,  0.08,  0.04,  -- *--             |                   ,  0.02,  0.18
#
 4,  exploit/True/0.6,35,  0.08,  0.04,  -  *--             |                   ,  0.03,  0.14
 4,  exploit/True/0.8,15,  0.08,  0.02,    -*---            |                   ,  0.03,  0.18
 4,            random,25,  0.08,  0.02,     *--             |                   ,  0.05,  0.12
 4,    exploit/True/1,15,  0.08,  0.04,     * ---           |                   ,  0.05,  0.16
 4,  exploit/True/0.6,15,  0.09,  0.06,  -   *---           |                   ,  0.04,  0.18
 4,            random,15,  0.09,  0.04,    - * -            |                   ,  0.06,  0.16
 4,            random,20,  0.09,  0.01,     -*              |                   ,  0.05,  0.14
 4,  exploit/True/0.7,15,  0.11,  0.04,   --- *-            |                   ,  0.03,  0.15
#
 5,       baseline,10000,  0.23,  0.09,        ----   *  ---|-                  ,  0.02,  0.61
